Date,Pair,Buy_Sell,Price,Volume,Spent_Gain
29-04-2022,FIOUSDT,BUY,0.0963,250,24.075
29-04-2022,ETHUPUSDT,BUY,31.897,0.5,15.9485
29-04-2022,AXSUSDT,BUY,37.04,1,37.04
29-04-2022,MCUSDT,BUY,1.86,5.5,10.23
29-04-2022,BTCUPUSDT,BUY,34.912,0.5,17.456
29-04-2022,ADAUPUSDT,BUY,6.391,2.28,14.57148
28-04-2022,OMUSDT,BUY,0.0976,235,22.936
28-04-2022,ANCUSDT,SELL,1.828,12.55,22.9414
28-04-2022,ANCUSDT,BUY,1.829,12.46,22.78934
28-04-2022,GMTUSDT,SELL,4.07668,3,12.23004
27-04-2022,AXSUSDT,BUY,39.15,0.66,25.839
27-04-2022,GMTUSDT,SELL,3.30875,7.8,25.80825
25-04-2022,DOTUPUSDT,BUY,1.2849,10,12.849
25-04-2022,OMUSDT,BUY,0.1126,239,26.9114
25-04-2022,MATICUSDT,BUY,1.302,8,10.416
25-04-2022,BNBUPUSDT,BUY,167.13,0.1,16.713
25-04-2022,XRPUPUSDT,BUY,0.8707,20,17.414
25-04-2022,ADAUPUSDT,BUY,6.763,2.76,18.66588
25-04-2022,ADAUPUSDT,BUY,6.806,1.75,11.9105
25-04-2022,XECUSDT,SELL,8.62E-05,520101,44.8327062
25-04-2022,XECUSDT,SELL,8.62E-05,179899,15.5072938
25-04-2022,GMTUSDT,SELL,3.34957,11,36.84527
23-04-2022,ADXUSDT,BUY,0.3726,50,18.63
22-04-2022,ADXUSDT,BUY,0.3772,50,18.86
21-04-2022,GMTUSDT,BUY,3,2.2,6.6
21-04-2022,GMTUSDT,BUY,3,0.3,0.9
21-04-2022,GMTUSDT,BUY,3,7.5,22.5
21-04-2022,GMTUSDT,BUY,3.25,6.1,19.825
19-04-2022,GMTUSDT,SELL,3.78967,5.2,19.706284
19-04-2022,BTCUSDT,BUY,41007.21,0.00032,13.1223072
19-04-2022,BTCUPUSDT,BUY,37.862,0.5,18.931
19-04-2022,GMTUSDT,SELL,3.34271,35,116.99485
18-04-2022,VETUSDT,BUY,0.05873,180,10.5714
18-04-2022,VETUSDT,BUY,0.0587,0.3,0.01761
18-04-2022,VETUSDT,BUY,0.0587,170.7,10.02009
18-04-2022,LINKUPUSDT,BUY,0.10962,150,16.443
18-04-2022,GMTUSDT,SELL,2.97561,1.4,4.165854
18-04-2022,GMTUSDT,SELL,2.97561,13.6,40.468296
18-04-2022,ADAUPUSDT,BUY,7.135,1.41,10.06035
18-04-2022,VETUSDT,BUY,0.05608,178.4,10.004672
14-04-2022,MCUSDT,BUY,2.16,37.27,80.5032
14-04-2022,MCUSDT,BUY,2.16,5,10.8
11-04-2022,AAVEUSDT,BUY,161.3,0.063,10.1619
