Date,Pair,Type,Price,Amount,Total,Fee,Fee Coin
09-01-2022,MCUSDT,BUY,3.85,2.6,10.01,1.72E-05,BNB
07-01-2022,BNBUPUSDT,BUY,354.48,0.05,17.724,2.95E-05,BNB
07-01-2022,SOLUSDT,BUY,140.07,0.14,19.6098,3.26E-05,BNB
07-01-2022,LUNAUSDT,BUY,71.13,0.36,25.6068,4.25E-05,BNB
07-01-2022,MCUSDT,BUY,4.09,2.56,10.4704,1.74E-05,BNB
07-01-2022,XTZUPUSDT,BUY,0.00972,1543.2,14.999904,2.50E-05,BNB
07-01-2022,ETHUPUSDT,BUY,51.995,0.28,14.5586,2.42E-05,BNB
07-01-2022,ETHUPUSDT,BUY,50.777,0.2,10.1554,1.69E-05,BNB
07-01-2022,XTZUPUSDT,BUY,0.00942,1974.68,18.6014856,3.12E-05,BNB
07-01-2022,XTZUPUSDT,BUY,0.0091,2500,22.75,3.84E-05,BNB
06-01-2022,HIGHUSDT,BUY,9.45,1.507,14.24115,2.24E-05,BNB
06-01-2022,ADAUPUSDT,BUY,25.824,0.39,10.07136,1.58E-05,BNB
06-01-2022,XTZUPUSDT,BUY,0.0103,1344.38,13.847114,2.25E-05,BNB
06-01-2022,DOTUPUSDT,BUY,2.911,7,20.377,3.30E-05,BNB
06-01-2022,ETHUPUSDT,BUY,57.77,0.25,14.4425,2.37E-05,BNB
06-01-2022,DOTUPUSDT,BUY,2.933,4.2,12.3186,2.00E-05,BNB
06-01-2022,XTZUPUSDT,BUY,0.01063,1500,15.945,2.57E-05,BNB
05-01-2022,HIGHUSDT,BUY,9.81,2.017,19.78677,3.12E-05,BNB
05-01-2022,MANAUSDT,BUY,2.8841,4,11.5364,1.81E-05,BNB
05-01-2022,FTTUSDT,BUY,38.09,0.34,12.9506,2.04E-05,BNB
05-01-2022,XTZUPUSDT,BUY,0.01201,1655.62,19.8839962,3.12E-05,BNB
05-01-2022,BTCUSDT,BUY,"43,456.75",0.00025,10.8641875,1.72E-05,BNB
05-01-2022,ADAUPUSDT,BUY,25.7,0.39,10.023,1.58E-05,BNB
05-01-2022,ADAUPUSDT,BUY,25.7,0.58,14.906,2.36E-05,BNB
05-01-2022,SXPUSDT,BUY,1.642,6.1,10.0162,1.59E-05,BNB
05-01-2022,DOTUPUSDT,BUY,3.048,3.42,10.42416,1.66E-05,BNB
05-01-2022,BNBUSDT,BUY,471.8,0.052,24.5336,3.90E-05,BNB
05-01-2022,BNBUSDT,BUY,471.6,0.052,24.5232,3.90E-05,BNB
05-01-2022,MCUSDT,BUY,4.44,2.52,11.1888,1.79E-05,BNB
05-01-2022,MCUSDT,BUY,4.44,2.48,11.0112,1.76E-05,BNB
05-01-2022,ETHUSDT,BUY,"3,519.65",0.003,10.55895,1.69E-05,BNB
05-01-2022,AVAXUSDT,BUY,93.37,0.3,28.011,4.47E-05,BNB
05-01-2022,XTZUPUSDT,BUY,0.01115,1500,16.725,2.69E-05,BNB
05-01-2022,DOTUPUSDT,BUY,2.8,4,11.2,1.83E-05,BNB
05-01-2022,ADAUPUSDT,BUY,25,0.4,10,1.57E-05,BNB
05-01-2022,BNBUSDT,BUY,490,0.021,10.29,1.58E-05,BNB
05-01-2022,BNBUSDT,BUY,500,0.021,10.5,1.58E-05,BNB
04-01-2022,ATOMUSDT,SELL,40,0.25,10,1.46E-05,BNB
01-01-2022,HIGHUSDT,BUY,11.07,1.605,17.76735,2.59E-05,BNB
01-01-2022,QIUSDT,BUY,0.1507,75,11.3025,1.65E-05,BNB
31-12-2021,XTZUPUSDT,BUY,0.01105,1500,16.575,2.45E-05,BNB
31-12-2021,MCUSDT,BUY,4.8,2.09,10.032,1.47E-05,BNB
31-12-2021,BNXUSDT,BUY,63.5,0.75,47.625,7.04E-05,BNB
31-12-2021,DOTUPUSDT,BUY,3.151,3.2,10.0832,1.48E-05,BNB
30-12-2021,MCUSDT,BUY,4.93,2.04,10.0572,1.44E-05,BNB
30-12-2021,ETHUSDT,BUY,"3,600.00",0.0028,10.08,1.48E-05,BNB
29-12-2021,ETHUSDT,BUY,"3,650.00",0.004,14.6,2.14E-05,BNB
29-12-2021,ETHUSDT,BUY,"3,700.00",0.003,11.1,1.60E-05,BNB
29-12-2021,ETHUSDT,BUY,"3,750.00",0.003,11.25,1.59E-05,BNB
28-12-2021,DOTUPUSDT,BUY,3.533,3.18,11.23494,1.58E-05,BNB
20-12-2021,FTMUSDT,BUY,1.3697,12,16.4364,2.37E-05,BNB
20-12-2021,TLMUSDT,BUY,0.2,50,10,1.44E-05,BNB
20-12-2021,BNXUSDT,BUY,71.4,0.25,17.85,2.57E-05,BNB
20-12-2021,OCEANUSDT,BUY,0.7273,15,10.9095,1.60E-05,BNB
20-12-2021,FETUSDT,BUY,0.435,3,1.305,1.90E-06,BNB
20-12-2021,GRTUSDT,BUY,0.595,20,11.9,1.75E-05,BNB
20-12-2021,FETUSDT,BUY,0.435,24,10.44,1.53E-05,BNB
20-12-2021,MCUSDT,BUY,5.22,2,10.44,1.53E-05,BNB
20-12-2021,ADAUPUSDT,BUY,25.538,0.4,10.2152,1.50E-05,BNB
20-12-2021,ICPUSDT,BUY,21.33,0.75,15.9975,2.35E-05,BNB
20-12-2021,AAVEUSDT,BUY,169.5,0.1,16.95,2.49E-05,BNB
20-12-2021,ADAUSDT,BUY,1.213,10,12.13,1.78E-05,BNB
14-12-2021,QIUSDT,BUY,0.1497,69,10.3293,1.50E-05,BNB
14-12-2021,BTCUSDT,BUY,"47,223.37",0.00022,10.3891414,1.49E-05,BNB
